question_type,service_level,channel_bin,view_quality_bin,freshness_bin,risk_level,expected_accuracy,payload_bytes,sample_count,std_or_ci
counting,2,medium,poor,expired,normal,0.449958,1600000.0,5,0.009446
counting,2,medium,poor,fresh,normal,0.443854,1600000.0,5,0.007784
counting,2,medium,poor,stale,normal,0.445433,1600000.0,5,0.006012
counting,3,bad,good,expired,normal,0.572903,550000.0,5,0.009368
counting,3,bad,good,fresh,normal,0.573017,550000.0,5,0.008271
counting,3,bad,good,stale,normal,0.579615,550000.0,5,0.009762
counting,3,bad,medium,expired,normal,0.465183,550000.0,5,0.006433
counting,3,bad,medium,fresh,normal,0.472093,550000.0,5,0.005118
counting,3,bad,medium,stale,normal,0.474909,550000.0,5,0.00459
counting,3,bad,poor,expired,normal,0.33153,550000.0,5,0.005619
counting,3,bad,poor,fresh,normal,0.333512,550000.0,5,0.006033
counting,3,bad,poor,stale,normal,0.333943,550000.0,5,0.004955
counting,3,good,good,expired,normal,0.809016,550000.0,5,0.013205
counting,3,good,good,fresh,normal,0.805421,550000.0,5,0.016841
counting,3,good,good,stale,normal,0.81666,550000.0,5,0.021311
counting,3,good,medium,expired,normal,0.664554,550000.0,5,0.015091
counting,3,good,medium,fresh,normal,0.665451,550000.0,5,0.015079
counting,3,good,medium,stale,normal,0.658549,550000.0,5,0.013037
counting,3,good,poor,expired,normal,0.463169,550000.0,5,0.004561
counting,3,good,poor,fresh,normal,0.472323,550000.0,5,0.008377
counting,3,good,poor,stale,normal,0.475341,550000.0,5,0.004278
counting,3,medium,good,expired,normal,0.70961,550000.0,5,0.011688
counting,3,medium,good,fresh,normal,0.717384,550000.0,5,0.013455
counting,3,medium,good,stale,normal,0.728017,550000.0,5,0.008345
counting,3,medium,medium,expired,normal,0.598524,550000.0,5,0.012175
counting,3,medium,medium,fresh,normal,0.588239,550000.0,5,0.008838
counting,3,medium,medium,stale,normal,0.582694,550000.0,5,0.008449
counting,3,medium,poor,expired,normal,0.418085,550000.0,5,0.007079
counting,3,medium,poor,fresh,normal,0.418926,550000.0,5,0.009132
counting,3,medium,poor,stale,normal,0.411736,550000.0,5,0.008349
presence,0,bad,good,expired,normal,0.358073,10000.0,5,0.003531
presence,0,bad,good,fresh,normal,0.661317,10000.0,5,0.009994
presence,0,bad,good,stale,normal,0.519938,10000.0,5,0.010508
presence,0,bad,medium,expired,normal,0.344193,10000.0,5,0.007223
presence,0,bad,medium,fresh,normal,0.648054,10000.0,5,0.008193
presence,0,bad,medium,stale,normal,0.516026,10000.0,5,0.011079
presence,0,bad,poor,expired,normal,0.320616,10000.0,5,0.005738
presence,0,bad,poor,fresh,normal,0.617547,10000.0,5,0.013033
presence,0,bad,poor,stale,normal,0.48729,10000.0,5,0.004119
presence,0,good,good,expired,normal,0.361615,10000.0,5,0.004731
presence,0,good,good,fresh,normal,0.671284,10000.0,5,0.010509
presence,0,good,good,stale,normal,0.534759,10000.0,5,0.005473
presence,0,good,medium,expired,normal,0.349239,10000.0,5,0.005669
presence,0,good,medium,fresh,normal,0.653101,10000.0,5,0.013664
presence,0,good,medium,stale,normal,0.515701,10000.0,5,0.006948
presence,0,good,poor,expired,normal,0.317691,10000.0,5,0.007448
presence,0,good,poor,fresh,normal,0.631556,10000.0,5,0.012827
presence,0,good,poor,stale,normal,0.483985,10000.0,5,0.011261
presence,0,medium,good,expired,normal,0.365138,10000.0,5,0.002216
presence,0,medium,good,fresh,normal,0.675598,10000.0,5,0.008514
presence,0,medium,good,stale,normal,0.53057,10000.0,5,0.01059
presence,0,medium,medium,expired,normal,0.342501,10000.0,5,0.004873
presence,0,medium,medium,fresh,normal,0.64414,10000.0,5,0.006137
presence,0,medium,medium,stale,normal,0.512082,10000.0,5,0.006927
presence,0,medium,poor,expired,normal,0.321212,10000.0,5,0.006095
presence,0,medium,poor,fresh,normal,0.628111,10000.0,5,0.009577
presence,0,medium,poor,stale,normal,0.481282,10000.0,5,0.00532
presence,1,bad,good,expired,normal,0.469673,180000.0,5,0.008138
presence,1,bad,good,fresh,normal,0.586353,180000.0,5,0.006162
presence,1,bad,good,stale,normal,0.53878,180000.0,5,0.004616
presence,1,bad,medium,expired,normal,0.363539,180000.0,5,0.003339
presence,1,bad,medium,fresh,normal,0.456542,180000.0,5,0.006041
presence,1,bad,medium,stale,normal,0.416727,180000.0,5,0.003723
presence,1,bad,poor,expired,normal,0.242799,180000.0,5,0.002288
presence,1,bad,poor,fresh,normal,0.309117,180000.0,5,0.002873
presence,1,bad,poor,stale,normal,0.280617,180000.0,5,0.00503
presence,1,good,good,expired,normal,0.720798,180000.0,5,0.009026
presence,1,good,good,fresh,normal,0.885266,180000.0,5,0.011023
presence,1,good,good,stale,normal,0.833379,180000.0,5,0.01144
presence,1,good,medium,expired,normal,0.57392,180000.0,5,0.009532
presence,1,good,medium,fresh,normal,0.72367,180000.0,5,0.01154
presence,1,good,medium,stale,normal,0.664533,180000.0,5,0.005955
presence,1,good,poor,expired,normal,0.353173,180000.0,5,0.005857
presence,1,good,poor,fresh,normal,0.45812,180000.0,5,0.005832
presence,1,good,poor,stale,normal,0.409388,180000.0,5,0.007791
presence,1,medium,good,expired,normal,0.622546,180000.0,5,0.009112
presence,1,medium,good,fresh,normal,0.774538,180000.0,5,0.009712
presence,1,medium,good,stale,normal,0.72651,180000.0,5,0.014032
presence,1,medium,medium,expired,normal,0.507677,180000.0,5,0.008594
presence,1,medium,medium,fresh,normal,0.63366,180000.0,5,0.013468
presence,1,medium,medium,stale,normal,0.587265,180000.0,5,0.012667
presence,1,medium,poor,expired,normal,0.309694,180000.0,5,0.005432
presence,1,medium,poor,fresh,normal,0.389447,180000.0,5,0.003474
presence,1,medium,poor,stale,normal,0.36622,180000.0,5,0.002936
presence,2,bad,good,expired,normal,0.686929,1600000.0,5,0.007878
presence,2,bad,good,fresh,normal,0.671528,1600000.0,5,0.013153
presence,2,bad,good,stale,normal,0.682888,1600000.0,5,0.014507
presence,2,bad,medium,expired,normal,0.56006,1600000.0,5,0.010773
presence,2,bad,medium,fresh,normal,0.563526,1600000.0,5,0.012778
presence,2,bad,medium,stale,normal,0.56054,1600000.0,5,0.010889
presence,2,bad,poor,expired,normal,0.400185,1600000.0,5,0.004179
presence,2,bad,poor,fresh,normal,0.393264,1600000.0,5,0.004767
presence,2,bad,poor,stale,normal,0.401186,1600000.0,5,0.006137
presence,2,good,good,expired,normal,0.953728,1600000.0,5,0.013757
presence,2,good,good,fresh,normal,0.953006,1600000.0,5,0.020155
presence,2,good,good,stale,normal,0.936724,1600000.0,5,0.013816
presence,2,good,medium,expired,normal,0.79868,1600000.0,5,0.009646
presence,2,good,medium,fresh,normal,0.775768,1600000.0,5,0.010483
presence,2,good,medium,stale,normal,0.7749,1600000.0,5,0.006671
presence,2,good,poor,expired,normal,0.569686,1600000.0,5,0.009576
presence,2,good,poor,fresh,normal,0.560189,1600000.0,5,0.003169
presence,2,good,poor,stale,normal,0.567364,1600000.0,5,0.005573
presence,2,medium,good,expired,normal,0.829698,1600000.0,5,0.011063
presence,2,medium,good,fresh,normal,0.839963,1600000.0,5,0.012344
presence,2,medium,good,stale,normal,0.835986,1600000.0,5,0.015357
presence,2,medium,medium,expired,normal,0.697856,1600000.0,5,0.009385
presence,2,medium,medium,fresh,normal,0.692237,1600000.0,5,0.009966
presence,2,medium,medium,stale,normal,0.7019,1600000.0,5,0.010188
presence,2,medium,poor,expired,normal,0.497332,1600000.0,5,0.007455
presence,2,medium,poor,fresh,normal,0.49365,1600000.0,5,0.003106
presence,2,medium,poor,stale,normal,0.501833,1600000.0,5,0.011341
presence,3,bad,good,expired,normal,0.636146,550000.0,5,0.012612
presence,3,bad,good,fresh,normal,0.638595,550000.0,5,0.007956
presence,3,bad,good,stale,normal,0.646564,550000.0,5,0.011158
presence,3,bad,medium,expired,normal,0.527739,550000.0,5,0.011569
presence,3,bad,medium,fresh,normal,0.530463,550000.0,5,0.009651
presence,3,bad,medium,stale,normal,0.527001,550000.0,5,0.007824
presence,3,bad,poor,expired,normal,0.380456,550000.0,5,0.002062
presence,3,bad,poor,fresh,normal,0.370871,550000.0,5,0.007187
presence,3,bad,poor,stale,normal,0.376243,550000.0,5,0.004489
presence,3,good,good,expired,normal,0.910811,550000.0,5,0.019975
presence,3,good,good,fresh,normal,0.9107,550000.0,5,0.01045
presence,3,good,good,stale,normal,0.904452,550000.0,5,0.016214
presence,3,good,medium,expired,normal,0.751394,550000.0,5,0.010254
presence,3,good,medium,fresh,normal,0.756299,550000.0,5,0.012717
presence,3,good,medium,stale,normal,0.756507,550000.0,5,0.010223
presence,3,good,poor,expired,normal,0.533787,550000.0,5,0.007484
presence,3,good,poor,fresh,normal,0.522659,550000.0,5,0.005681
presence,3,good,poor,stale,normal,0.528234,550000.0,5,0.004687
presence,3,medium,good,expired,normal,0.811336,550000.0,5,0.01189
presence,3,medium,good,fresh,normal,0.798218,550000.0,5,0.015938
presence,3,medium,good,stale,normal,0.79735,550000.0,5,0.012335
presence,3,medium,medium,expired,normal,0.658079,550000.0,5,0.010058
presence,3,medium,medium,fresh,normal,0.663008,550000.0,5,0.014047
presence,3,medium,medium,stale,normal,0.658711,550000.0,5,0.013377
presence,3,medium,poor,expired,normal,0.465447,550000.0,5,0.008144
presence,3,medium,poor,fresh,normal,0.466129,550000.0,5,0.009201
presence,3,medium,poor,stale,normal,0.472283,550000.0,5,0.007414
relation,0,bad,good,expired,normal,0.272491,10000.0,1,0.0
relation,0,bad,good,fresh,normal,0.51537,10000.0,1,0.0
relation,0,bad,good,stale,normal,0.42478,10000.0,1,0.0
relation,0,bad,medium,expired,normal,0.26417,10000.0,1,0.0
relation,0,bad,medium,fresh,normal,0.495229,10000.0,1,0.0
relation,0,bad,medium,stale,normal,0.401052,10000.0,1,0.0
relation,0,bad,poor,expired,normal,0.240427,10000.0,1,0.0
relation,0,bad,poor,fresh,normal,0.482937,10000.0,1,0.0
relation,0,bad,poor,stale,normal,0.382332,10000.0,1,0.0
relation,0,good,good,expired,normal,0.276867,10000.0,1,0.0
relation,0,good,good,fresh,normal,0.515206,10000.0,1,0.0
relation,0,good,good,stale,normal,0.415073,10000.0,1,0.0
relation,0,good,medium,expired,normal,0.275007,10000.0,1,0.0
relation,0,good,medium,fresh,normal,0.510794,10000.0,1,0.0
relation,0,good,medium,stale,normal,0.390821,10000.0,1,0.0
relation,0,good,poor,expired,normal,0.244912,10000.0,1,0.0
relation,0,good,poor,fresh,normal,0.480439,10000.0,1,0.0
relation,0,good,poor,stale,normal,0.379602,10000.0,1,0.0
relation,0,medium,good,expired,normal,0.289142,10000.0,1,0.0
relation,0,medium,good,fresh,normal,0.511912,10000.0,1,0.0
relation,0,medium,good,stale,normal,0.424814,10000.0,1,0.0
relation,0,medium,medium,expired,normal,0.27725,10000.0,1,0.0
relation,0,medium,medium,fresh,normal,0.503877,10000.0,1,0.0
relation,0,medium,medium,stale,normal,0.406306,10000.0,1,0.0
relation,0,medium,poor,expired,normal,0.245132,10000.0,1,0.0
relation,0,medium,poor,fresh,normal,0.492181,10000.0,1,0.0
relation,0,medium,poor,stale,normal,0.365559,10000.0,1,0.0
relation,1,bad,good,expired,normal,0.366348,180000.0,1,0.0
relation,1,bad,good,fresh,normal,0.430232,180000.0,1,0.0
relation,1,bad,good,stale,normal,0.412621,180000.0,1,0.0
relation,1,bad,medium,expired,normal,0.284579,180000.0,1,0.0
relation,1,bad,medium,fresh,normal,0.361767,180000.0,1,0.0
relation,1,bad,medium,stale,normal,0.33155,180000.0,1,0.0
relation,1,bad,poor,expired,normal,0.181936,180000.0,1,0.0
relation,1,bad,poor,fresh,normal,0.241191,180000.0,1,0.0
relation,1,bad,poor,stale,normal,0.219898,180000.0,1,0.0
relation,1,good,good,expired,normal,0.499443,180000.0,1,0.0
relation,1,good,good,fresh,normal,0.647737,180000.0,1,0.0
relation,1,good,good,stale,normal,0.603767,180000.0,1,0.0
relation,1,good,medium,expired,normal,0.416163,180000.0,1,0.0
relation,1,good,medium,fresh,normal,0.518929,180000.0,1,0.0
relation,1,good,medium,stale,normal,0.470943,180000.0,1,0.0
relation,1,good,poor,expired,normal,0.270528,180000.0,1,0.0
relation,1,good,poor,fresh,normal,0.347204,180000.0,1,0.0
relation,1,good,poor,stale,normal,0.311711,180000.0,1,0.0
relation,1,medium,good,expired,normal,0.445854,180000.0,1,0.0
relation,1,medium,good,fresh,normal,0.565648,180000.0,1,0.0
relation,1,medium,good,stale,normal,0.515,180000.0,1,0.0
relation,1,medium,medium,expired,normal,0.370593,180000.0,1,0.0
relation,1,medium,medium,fresh,normal,0.454152,180000.0,1,0.0
relation,1,medium,medium,stale,normal,0.424496,180000.0,1,0.0
relation,1,medium,poor,expired,normal,0.237817,180000.0,1,0.0
relation,1,medium,poor,fresh,normal,0.309985,180000.0,1,0.0
relation,1,medium,poor,stale,normal,0.277835,180000.0,1,0.0
relation,2,bad,good,expired,normal,0.551169,1600000.0,1,0.0
relation,2,bad,good,fresh,normal,0.54635,1600000.0,1,0.0
relation,2,bad,good,stale,normal,0.558199,1600000.0,1,0.0
relation,2,bad,medium,expired,normal,0.446601,1600000.0,1,0.0
relation,2,bad,medium,fresh,normal,0.452688,1600000.0,1,0.0
relation,2,bad,medium,stale,normal,0.455306,1600000.0,1,0.0
relation,2,bad,poor,expired,normal,0.312045,1600000.0,1,0.0
relation,2,bad,poor,fresh,normal,0.313509,1600000.0,1,0.0
relation,2,bad,poor,stale,normal,0.32533,1600000.0,1,0.0
relation,2,good,good,expired,normal,0.769179,1600000.0,1,0.0
relation,2,good,good,fresh,normal,0.736908,1600000.0,1,0.0
relation,2,good,good,stale,normal,0.772942,1600000.0,1,0.0
relation,2,good,medium,expired,normal,0.608515,1600000.0,1,0.0
relation,2,good,medium,fresh,normal,0.641086,1600000.0,1,0.0
relation,2,good,medium,stale,normal,0.625324,1600000.0,1,0.0
relation,2,good,poor,expired,normal,0.460668,1600000.0,1,0.0
relation,2,good,poor,fresh,normal,0.449495,1600000.0,1,0.0
relation,2,good,poor,stale,normal,0.441216,1600000.0,1,0.0
relation,2,medium,good,expired,normal,0.691949,1600000.0,1,0.0
relation,2,medium,good,fresh,normal,0.66681,1600000.0,1,0.0
relation,2,medium,good,stale,normal,0.660163,1600000.0,1,0.0
relation,2,medium,medium,expired,normal,0.567225,1600000.0,1,0.0
relation,2,medium,medium,fresh,normal,0.564923,1600000.0,1,0.0
relation,2,medium,medium,stale,normal,0.563456,1600000.0,1,0.0
relation,2,medium,poor,expired,normal,0.385097,1600000.0,1,0.0
relation,2,medium,poor,fresh,normal,0.402121,1600000.0,1,0.0
relation,2,medium,poor,stale,normal,0.407479,1600000.0,1,0.0
relation,3,bad,good,expired,normal,0.50456,550000.0,1,0.0
relation,3,bad,good,fresh,normal,0.493263,550000.0,1,0.0
relation,3,bad,good,stale,normal,0.503423,550000.0,1,0.0
